"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.857001260E-1,-6.896668673E-1,-4.111123085E-1,4.415028691E-1
3.878637720E-1,-6.771441102E-1,-4.749477208E-1,4.554000497E-1
3.900156570E-1,-6.672175527E-1,-5.436700583E-1,4.692972302E-1
3.921692830E-1,-6.572909951E-1,-6.111706495E-1,4.831944108E-1
3.943147710E-1,-6.472117305E-1,-6.898195744E-1,4.980078936E-1
3.964632070E-1,-6.421720982E-1,-7.634288669E-1,5.143485069E-1
3.986050840E-1,-6.357579827E-1,-8.396342993E-1,5.305364728E-1
4.007693900E-1,-6.294966340E-1,-9.132435322E-1,5.442809463E-1
4.029197000E-1,-6.255260110E-1,-9.795224071E-1,5.606215596E-1
4.050737610E-1,-6.217080951E-1,-1.042136073E0,5.757405162E-1
4.072186900E-1,-6.166684628E-1,-1.098641157E0,5.885686874E-1
4.093704330E-1,-6.116288304E-1,-1.144150615E0,6.015495658E-1
4.115207630E-1,-6.065891981E-1,-1.182176948E0,6.145304441E-1
4.136714480E-1,-5.991060734E-1,-1.216690898E0,6.250678897E-1
4.158208410E-1,-5.879577994E-1,-1.243721604E0,6.382014751E-1
4.179695430E-1,-5.794056654E-1,-1.268308997E0,6.487388611E-1
4.201110420E-1,-5.658139586E-1,-1.286634922E0,6.583600044E-1
4.222777090E-1,-5.499314666E-1,-1.302670121E0,6.690501571E-1
4.244235430E-1,-5.363397002E-1,-1.311375022E0,6.762278080E-1
4.265765270E-1,-5.167919993E-1,-1.313818455E0,6.834055185E-1
4.287210990E-1,-4.996877611E-1,-1.313818455E0,6.882924438E-1
4.308596280E-1,-4.801400900E-1,-1.306335330E0,6.931793094E-1
4.330145760E-1,-4.569272101E-1,-1.292896271E0,6.956228018E-1
4.351828090E-1,-4.337143302E-1,-1.271974206E0,6.982190013E-1
4.373391300E-1,-4.094324410E-1,-1.249830246E0,6.959282160E-1
4.394843020E-1,-3.849978149E-1,-1.220355988E0,6.937901974E-1
4.416270420E-1,-3.594942093E-1,-1.187063932E0,6.904304624E-1
4.437763350E-1,-3.313944042E-1,-1.151481032E0,6.846272349E-1
4.459270900E-1,-3.046690524E-1,-1.115745425E0,6.776022911E-1
4.480788340E-1,-2.779437006E-1,-1.078788042E0,6.705773473E-1
4.502313400E-1,-2.510656118E-1,-1.040609002E0,6.623306274E-1
4.523819960E-1,-2.231185287E-1,-9.975429177E-1,6.493497491E-1
4.545315010E-1,-1.951714456E-1,-9.532552361E-1,6.398813725E-1
4.566801620E-1,-1.672243625E-1,-9.065240026E-1,6.305656433E-1
4.588324250E-1,-1.380555481E-1,-8.561276197E-1,6.249151230E-1
4.609842190E-1,-1.113301888E-1,-8.057312369E-1,6.192646623E-1
4.631314360E-1,-8.567385375E-2,-7.590000629E-1,6.148358583E-1
4.652750710E-1,-6.383541971E-2,-7.173085213E-1,6.139195561E-1
4.674292970E-1,-4.444044828E-2,-6.805039048E-1,6.180428863E-1
4.695725780E-1,-2.611448988E-2,-6.499606371E-1,6.232352853E-1
4.717337090E-1,-1.023199316E-2,-6.253733039E-1,6.294966340E-1
4.738722900E-1,1.985311974E-3,-6.058256030E-1,6.382014751E-1
4.760378470E-1,1.175915636E-2,-5.911648273E-1,6.493497491E-1
4.781833660E-1,2.031126991E-2,-5.766568184E-1,6.617197990E-1
4.803242130E-1,2.275473066E-2,-5.644394755E-1,6.753115058E-1
4.824726610E-1,2.519819140E-2,-5.523748994E-1,6.899722815E-1
4.846274570E-1,2.519819140E-2,-5.464189649E-1,7.047857642E-1
4.867825470E-1,2.153299935E-2,-5.404630303E-1,7.206682563E-1
4.889261520E-1,1.435533352E-2,-5.345070958E-1,7.367035151E-1
4.910755860E-1,8.246680722E-3,-5.334380865E-1,7.538077235E-1
4.932253660E-1,-3.970623948E-3,-5.348125100E-1,7.733554244E-1
4.953806800E-1,-1.481348183E-2,-5.338962078E-1,7.930558324E-1
4.975432980E-1,-3.069597855E-2,-5.427537560E-1,8.136724830E-1
4.996931190E-1,-4.764748737E-2,-5.539020896E-1,8.344419003E-1
5.018394810E-1,-6.597344577E-2,-5.566509366E-1,8.564330935E-1
5.039954780E-1,-8.414668590E-2,-5.618433356E-1,8.808676600E-1
5.061389810E-1,-1.073595658E-1,-5.670356750E-1,9.028588533E-1
5.082845700E-1,-1.281289905E-1,-5.673410892E-1,9.262244105E-1
5.104432810E-1,-1.499674171E-1,-5.688682795E-1,9.506590366E-1
5.125949540E-1,-1.731802970E-1,-5.691736937E-1,9.764680862E-1
5.147474190E-1,-1.925752759E-1,-5.694791079E-1,1.002124429E0
5.168945230E-1,-2.145664245E-1,-5.710062981E-1,1.029002547E0
5.190474780E-1,-2.351831198E-1,-5.751296282E-1,1.057102323E0
5.211976030E-1,-2.559525371E-1,-5.815436840E-1,1.085202098E0
5.233441590E-1,-2.777909636E-1,-5.904012322E-1,1.113301873E0
5.254840000E-1,-2.947424948E-1,-6.006332636E-1,1.145066857E0
5.276466190E-1,-3.092505336E-1,-6.120869517E-1,1.177900910E0
5.298001820E-1,-3.251330256E-1,-6.209445000E-1,1.210887671E0
5.319579480E-1,-3.420845270E-1,-6.299547553E-1,1.247539520E0
5.340996110E-1,-3.529273868E-1,-6.377432942E-1,1.281595230E0
5.362507530E-1,-3.637702465E-1,-6.429356933E-1,1.317025423E0
5.384047460E-1,-3.735440969E-1,-6.421720982E-1,1.353677392E0
5.405511380E-1,-3.819434941E-1,-6.400340796E-1,1.391703725E0
5.427048860E-1,-3.880521357E-1,-6.294966340E-1,1.428508401E0
5.448602800E-1,-3.915646076E-1,-6.200281978E-1,1.463938594E0
5.469897570E-1,-3.927863538E-1,-6.044511795E-1,1.500743151E0
5.491562910E-1,-3.914119005E-1,-5.864306092E-1,1.538922310E0
5.513127140E-1,-3.889684379E-1,-5.621487498E-1,1.572061658E0
5.534582620E-1,-3.840815127E-1,-5.380195379E-1,1.607797384E0
5.556039320E-1,-3.790418804E-1,-5.102251768E-1,1.642311215E0
5.577510570E-1,-3.692680299E-1,-4.786129296E-1,1.676825047E0
5.599052520E-1,-3.607159257E-1,-4.421137273E-1,1.710117221E0
5.620560700E-1,-3.472768962E-1,-4.031710625E-1,1.743562102E0
5.642064310E-1,-3.350595832E-1,-3.568980098E-1,1.777006984E0
5.663559660E-1,-3.191770911E-1,-3.069597781E-1,1.808008432E0
5.685078110E-1,-3.020728528E-1,-2.507601976E-1,1.839162588E0
5.706582520E-1,-2.863430977E-1,-1.860084683E-1,1.867873192E0
5.728103920E-1,-2.667953968E-1,-1.175915599E-1,1.895514846E0
5.749600910E-1,-2.498438805E-1,-4.550946131E-2,1.923003793E0
5.771100550E-1,-2.304489166E-1,2.779436857E-2,1.949423671E0
5.792665490E-1,-2.121229619E-1,1.023199260E-1,1.973400116E0
5.814100220E-1,-1.927279830E-1,1.745547503E-1,1.994933128E0
5.835598940E-1,-1.733330190E-1,2.441933751E-1,2.012800932E0
5.857084930E-1,-1.562287807E-1,3.127630055E-1,2.031890631E0
5.878620070E-1,-1.356120855E-1,3.752239645E-1,2.045940399E0
5.900139430E-1,-1.149953827E-1,4.364632070E-1,2.056325197E0
5.921633070E-1,-9.666942805E-2,4.903720617E-1,2.064113617E0
5.943134740E-1,-7.360926270E-2,5.381723046E-1,2.069458723E0
5.964624490E-1,-5.177082866E-2,5.835290551E-1,2.072360277E0
5.986114670E-1,-3.100141138E-2,6.215553880E-1,2.072665691E0
6.007520510E-1,-6.719517522E-3,6.559165716E-1,2.071749449E0
6.029150150E-1,1.282817032E-2,6.867652535E-1,2.067167997E0
6.050623230E-1,3.100141138E-2,7.162395120E-1,2.060142994E0
6.072194580E-1,5.177082866E-2,7.434229851E-1,2.052965403E0
6.093669390E-1,6.872233748E-2,7.667886019E-1,2.042275190E0
6.115184690E-1,8.338310570E-2,7.864890099E-1,2.030210733E0
6.136680150E-1,9.666942805E-2,8.063421249E-1,2.015702486E0
6.158170930E-1,1.087340117E-1,8.225300312E-1,2.001194477E0
6.179684200E-1,1.172861308E-1,8.373435140E-1,1.983021259E0
6.201205890E-1,1.220203340E-1,8.535314798E-1,1.964848042E0
6.222748260E-1,1.232420653E-1,8.659014702E-1,1.944231391E0
6.244214840E-1,1.194241568E-1,8.857545853E-1,1.923614621E0
6.265697470E-1,1.143845171E-1,9.104946256E-1,1.904372454E0
6.287205150E-1,1.044579595E-1,9.387471676E-1,1.890169740E0
6.308717290E-1,9.101892263E-2,9.718865752E-1,1.874745488E0
6.330232380E-1,7.376197726E-2,1.007622242E0,1.858099341E0
6.351707490E-1,5.406157300E-2,1.048092008E0,1.845118523E0
6.373060130E-1,3.069597855E-2,1.093448758E0,1.832290292E0
6.394639020E-1,3.665191587E-3,1.147510409E0,1.822058320E0
6.416252670E-1,-2.336559631E-2,1.200197458E0,1.813048005E0
6.437784760E-1,-5.299255997E-2,1.258993268E0,1.806481242E0
6.459274630E-1,-8.613199741E-2,1.320232511E0,1.803579688E0
6.480783930E-1,-1.192714423E-1,1.380097270E0,1.798234582E0
6.502232790E-1,-1.536326110E-1,1.441336513E0,1.793042183E0
6.523644640E-1,-1.867720485E-1,1.498910546E0,1.790140629E0
6.545270620E-1,-2.211332172E-1,1.561371565E0,1.787238955E0
6.566779810E-1,-2.518292069E-1,1.618945599E0,1.784337401E0
6.588328270E-1,-2.813034356E-1,1.676366925E0,1.782657504E0
6.609787920E-1,-3.071125150E-1,1.730275750E0,1.784642816E0
6.631286340E-1,-3.316998184E-1,1.782810211E0,1.786628127E0
6.652747000E-1,-3.501785100E-1,1.831832170E0,1.789682508E0
6.674292720E-1,-3.613267839E-1,1.879479647E0,1.792736769E0
6.695812090E-1,-3.711006343E-1,1.922392964E0,1.800525308E0
6.717295840E-1,-3.688098788E-1,1.960266590E0,1.810757279E0
6.738693460E-1,-3.627012372E-1,1.985922933E0,1.823127270E0
6.760324000E-1,-3.455969989E-1,2.005317926E0,1.835497379E0
6.781830350E-1,-3.199406862E-1,2.021200418E0,1.851532578E0
6.803367920E-1,-2.880229652E-1,2.032196045E0,1.871080279E0
6.824842030E-1,-2.477058619E-1,2.039526224E0,1.890475273E0
6.846342270E-1,-2.012801021E-1,2.049147367E0,1.916131616E0
6.867841190E-1,-1.485929638E-1,2.061212063E0,1.946522117E0
6.889365230E-1,-8.979719132E-2,2.074651003E0,1.981952310E0
6.910864250E-1,-2.748893574E-2,2.094046116E0,2.023491144E0
6.932376000E-1,3.985895589E-2,2.114510059E0,2.070985794E0
6.953822930E-1,1.084285825E-1,2.141235352E0,2.122451305E0
6.975249730E-1,1.817324162E-1,2.174069405E0,2.174985647E0
6.996850680E-1,2.527455091E-1,2.210568666E0,2.227672815E0
7.018264040E-1,3.262020350E-1,2.248136759E0,2.282803535E0
7.039935800E-1,3.958406746E-1,2.287079573E0,2.333047152E0
7.061352830E-1,4.668537676E-1,2.323578596E0,2.382069111E0
7.082821130E-1,5.413793325E-1,2.355343580E0,2.426051378E0
7.104412310E-1,6.085745096E-1,2.390621185E0,2.460412502E0
7.125913580E-1,6.721044779E-1,2.426203966E0,2.483778000E0
7.147441170E-1,7.319692969E-1,2.464230299E0,2.501034975E0
7.168905100E-1,7.869471312E-1,2.510808945E0,2.506227493E0
7.190427430E-1,8.319984674E-1,2.561357975E0,2.501798630E0
7.211932140E-1,8.709411025E-1,2.616794109E0,2.485152483E0
7.233437270E-1,8.976664543E-1,2.663677931E0,2.458732605E0
7.254936590E-1,9.205739498E-1,2.700788021E0,2.419942617E0
7.276441510E-1,9.326385260E-1,2.722168207E0,2.370004416E0
7.297958840E-1,9.385944605E-1,2.726597071E0,2.306627274E0
7.319490830E-1,9.384417534E-1,2.713768959E0,2.228283644E0
7.340982940E-1,9.295842052E-1,2.685210943E0,2.140013695E0
7.362514510E-1,9.147707224E-1,2.643213987E0,2.040748119E0
7.383835810E-1,8.950703144E-1,2.586708784E0,1.931403160E0
7.405476440E-1,8.727737069E-1,2.520430088E0,1.812284470E0
7.426964170E-1,8.445212245E-1,2.441781044E0,1.686904430E0
7.448537450E-1,8.150469661E-1,2.347402334E0,1.552819490E0
7.470003310E-1,7.770205736E-1,2.239584684E0,1.418581843E0
7.491531530E-1,7.402159572E-1,2.118175268E0,1.281900764E0
7.513137460E-1,7.023423314E-1,1.983326793E0,1.149801135E0
